kod_obce_orp;nazev_obce;okres_nuts;nazev_okres;kraj_nuts;nazev_kraj;aken;uzis_orp;ruian_kod
5202;Dobruška;CZ0524;Rychnov nad Kněžnou;CZ052;Královéhradecký;CZ0524;5202;1104
5203;Dvůr Králové nad Labem;CZ0525;Trutnov;CZ052;Královéhradecký;CZ0525;5203;1201
5204;Hořice;CZ0522;Jičín;CZ052;Královéhradecký;CZ0522;5204;1007
5205;Hradec Králové;CZ0521;Hradec Králové;CZ052;Královéhradecký;CZ0521;5205;965
5206;Jaroměř;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5206;1040
5207;Jičín;CZ0522;Jičín;CZ052;Královéhradecký;CZ0522;5207;1015
5208;Kostelec nad Orlicí;CZ0524;Rychnov nad Kněžnou;CZ052;Královéhradecký;CZ0524;5208;1112
5209;Náchod;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5209;1066
5210;Nová Paka;CZ0522;Jičín;CZ052;Královéhradecký;CZ0522;5210;1023
5211;Nové Město nad Metují;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5211;1058
5212;Nový Bydžov;CZ0521;Hradec Králové;CZ052;Královéhradecký;CZ0521;5212;973
5213;Rychnov nad Kněžnou;CZ0524;Rychnov nad Kněžnou;CZ052;Královéhradecký;CZ0524;5213;1121
5214;Trutnov;CZ0525;Trutnov;CZ052;Královéhradecký;CZ0525;5214;1210
5215;Vrchlabí;CZ0525;Trutnov;CZ052;Královéhradecký;CZ0525;5215;1228
5301;Česká Třebová;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5301;1279
5302;Hlinsko;CZ0531;Chrudim;CZ053;Pardubický;CZ0531;5302;990
5303;Holice;CZ0532;Pardubice;CZ053;Pardubický;CZ0532;5303;1074
5304;Chrudim;CZ0531;Chrudim;CZ053;Pardubický;CZ0531;5304;981
5305;Králíky;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5305;1236
5306;Lanškroun;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5306;1244
5307;Litomyšl;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5307;1163
5308;Moravská Třebová;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5308;1171
5309;Pardubice;CZ0532;Pardubice;CZ053;Pardubický;CZ0532;5309;1082
5310;Polička;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5310;1180
5311;Přelouč;CZ0532;Pardubice;CZ053;Pardubický;CZ0532;5311;1091
5312;Svitavy;CZ0533;Svitavy;CZ053;Pardubický;CZ0533;5312;1198
5313;Ústí nad Orlicí;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5313;1287
5314;Vysoké Mýto;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5314;1252
5315;Žamberk;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5315;1261
6101;Bystřice nad Pernštejnem;CZ0635;Žďár nad Sázavou;CZ063;Vysočina;CZ0635;6301;1678
6102;Havlíčkův Brod;CZ0631;Havlíčkův Brod;CZ063;Vysočina;CZ0631;6302;949
6103;Humpolec;CZ0633;Pelhřimov;CZ063;Vysočina;CZ0633;6303;361
6104;Chotěboř;CZ0631;Havlíčkův Brod;CZ063;Vysočina;CZ0631;6304;931
6105;Jihlava;CZ0632;Jihlava;CZ063;Vysočina;CZ0632;6305;1503
6106;Moravské Budějovice;CZ0634;Třebíč;CZ063;Vysočina;CZ0634;6306;1571
6107;Náměšť nad Oslavou;CZ0634;Třebíč;CZ063;Vysočina;CZ0634;6307;1589
6108;Nové Město na Moravě;CZ0635;Žďár nad Sázavou;CZ063;Vysočina;CZ0635;6308;1686
6109;Pacov;CZ0633;Pelhřimov;CZ063;Vysočina;CZ0633;6309;370
6110;Pelhřimov;CZ0633;Pelhřimov;CZ063;Vysočina;CZ0633;6310;388
6111;Světlá nad Sázavou;CZ0631;Havlíčkův Brod;CZ063;Vysočina;CZ0631;6311;957
6112;Telč;CZ0632;Jihlava;CZ063;Vysočina;CZ0632;6312;1511
6113;Třebíč;CZ0634;Třebíč;CZ063;Vysočina;CZ0634;6313;1597
6114;Velké Meziříčí;CZ0635;Ž~ár nad Sázavou;CZ063;Vysočina;CZ0635;6314;1694
6115;Žďár nad Sázavou;CZ0635;Ž~ár nad Sázavou;CZ063;Vysočina;CZ0635;6315;1708
6201;Blansko;CZ0641;Blansko;CZ064;Jihomoravský;CZ0641;6401;1295
6202;Boskovice;CZ0641;Blansko;CZ064;Jihomoravský;CZ0641;6402;1309
6203;Brno;CZ0642;Brno-město;CZ064;Jihomoravský;CZ0642;6403;1317
6204;Břeclav;CZ0644;Břeclav;CZ064;Jihomoravský;CZ0644;6404;1384
6205;Bučovice;CZ0646;Vyškov;CZ064;Jihomoravský;CZ0646;6405;1627
6206;Hodonín;CZ0645;Hodonín;CZ064;Jihomoravský;CZ0645;6406;1473
6207;Hustopeče;CZ0644;Břeclav;CZ064;Jihomoravský;CZ0644;6407;1392
6208;Ivančice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6408;1325
6209;Kuřim;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6409;1333
6210;Kyjov;CZ0645;Hodonín;CZ064;Jihomoravský;CZ0645;6410;1481
6211;Mikulov;CZ0644;Břeclav;CZ064;Jihomoravský;CZ0644;6411;1406
6212;Moravský Krumlov;CZ0647;Znojmo;CZ064;Jihomoravský;CZ0647;6412;1651
6213;Pohořelice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6413;1414
6214;Rosice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6414;1341
6215;Slavkov u Brna;CZ0646;Vyškov;CZ064;Jihomoravský;CZ0646;6415;1635
6216;Šlapanice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6416;1368
6217;Tišnov;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6417;1350
6218;Veselí nad Moravou;CZ0645;Hodonín;CZ064;Jihomoravský;CZ0645;6418;1490
6219;Vyškov;CZ0646;Vyškov;CZ064;Jihomoravský;CZ0646;6419;1643
6220;Znojmo;CZ0647;Znojmo;CZ064;Jihomoravský;CZ0647;6420;1660
6221;Židlochovice;CZ0643;Brno-venkov;CZ064;Jihomoravský;CZ0643;6421;1376
7101;Hranice;CZ0714;Přerov;CZ071;Olomoucký;CZ0714;7101;1970
7102;Jeseník;CZ0711;Jeseník;CZ071;Olomoucký;CZ0711;7102;2062
7103;Konice;CZ0713;Prostějov;CZ071;Olomoucký;CZ0713;7103;1554
7104;Lipník nad Bečvou;CZ0714;Přerov;CZ071;Olomoucký;CZ0714;7104;1988
7105;Litovel;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7105;1881
7106;Mohelnice;CZ0715;Šumperk;CZ071;Olomoucký;CZ0715;7106;2003
7107;Olomouc;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7107;1899
7108;Prostějov;CZ0713;Prostějov;CZ071;Olomoucký;CZ0713;7108;1562
7109;Přerov;CZ0714;Přerov;CZ071;Olomoucký;CZ0714;7109;1996
7110;Šternberk;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7110;1911
7111;Šumperk;CZ0715;Šumperk;CZ071;Olomoucký;CZ0715;7111;2020
7112;Uničov;CZ0712;Olomouc;CZ071;Olomoucký;CZ0712;7112;1902
7113;Zábřeh;CZ0715;Šumperk;CZ071;Olomoucký;CZ0715;7113;2011
7201;Bystřice pod Hostýnem;CZ0721;Kroměříž;CZ072;Zlínský;CZ0721;7201;1520
7202;Holešov;CZ0721;Kroměříž;CZ072;Zlínský;CZ0721;7202;1538
7203;Kroměříž;CZ0721;Kroměříž;CZ072;Zlínský;CZ0721;7203;1546
